index,firstname,lastname,countrycode,country,sex,type,rule,infractiondate,ineligibleyears,sanction,ineligabletodate,actualyear,yeargap,occurance,a,b,c,year
155,Devis,Licciardi,ITA,Italy,M,IAAF Rule 32.2e,Tampering,9/21/2013,3,3 years ineligibility,9/25/2016,3,0,10,Tampering,,,2013
156,Sabine,Petitjean,FRA,France,F,AAF,Tuaminoheptane,12/21/2014,0.75,9 months ineligibility,12/13/2015,1,0.2,9,Tuaminoheptane,,,2014
157,Abraham,Kiprotich,FRA,France,M,AAF,EPO,11/17/2013,2,2 years ineligibility,10/5/2016,2.9,0.9,9,EPO,,,2013
158,James Kibocha,Theuri,FRA,France,M,IAAF Rule 32.2d,3 Whereabouts Failures within an 18 month period,5/9/2014,1,1 year ineligibility,12/23/2015,1.6,0.6,9,3 Whereabouts Failures within an 18 month period,,,2014
159,Jimmy,Fontaine,FRA,France,M,IAAF rule 32.2c,Refusal to submit to doping control,6/22/2013,2,2 years ineligibility,1/3/2016,2.5,0.5,9,Refusal to submit to doping control,,,2013
160,Erwan,Baqas,FRA,France,M,AAF,Clenbuterol,6/29/2014,2,2 years ineligibility,12/9/2016,2.4,0.4,9,Clenbuterol,,,2014
161,Larbi,Es-Sraidi,FRA,France,M,AAF,Triamcinolone acetonide,6/14/2015,2,2 years ineligibility,8/25/2017,2.2,0.2,9,Triamcinolone acetonide,,,2015
162,Quentin,Bigot,FRA,France,M,AAF,Methandienone & Stanozolol,6/21/2014,2,2 years ineligibility,7/10/2016,2.1,0.1,9,Methandienone,Stanozolol,,2014
163,Nour-Eddine,Gezzar,FRA,France,M,AAF,EPO,6/17/2012,10,10 years ineligibility (2nd ADRV),7/12/2022,10.1,0.1,9,EPO,,,2012
164,Bertrand,Moulinet,FRA,France,M,AAF,FG-4592,3/30/2015,4,4 years ineligibility,4/21/2019,4.1,0.1,9,FG-4592,,,2015
165,Anca,Heltne,ROU,Romania,F,AAF,Methandienone & Dehydrochloromathyltestosterone,2/7/2014,8,8 years ineligibility,3/10/2022,8.1,0.1,8,Methandienone,Dehydrochloromathyltestosterone,,2014
166,Catalina,Puscasu,ROU,Romania,F,AAF,Drostanolone,8/30/2014,2,2 years ineligibility,9/29/2016,2.1,0.1,8,Drostanolone,,,2014
167,Simona Raula,Maxim,ROU,Romania,F,IAAF Rule 32.2c,Evasion,8/1/2013,4,4 years ineligibility,8/7/2017,4,0,8,Evasion,,,2013
168,Corina,Dumbravean Corina,ROU,Romania,F,IAAF Rule 32.2 c,Refusal/Tampering,5/18/2010,100,Lifetime ban as from 03.06.10,Lifetime ban,100,0,8,Refusal/Tampering,,,2010
169,Rodica,Chirita,ROU,Romania,F,AAF,Stanozolol,12/8/2005,100,Lifetime ban,Lifetime ban,100,0,8,Stanozolol,,,2005
170,Sebastian,Varga,ROU,Romania,M,AAF,Metabolites of Metandienone,6/3/2009,8,8 years ineligibility (2nd ADRV),9/2/2017,8.3,0.3,8,Metabolites of Metandienone,,,2009
171,Sergiu,Ursu,ROU,Romania,M,AAF,Dehydrochloromethyltestosterone,3/11/2014,2,2 years ineligibility,5/12/2016,2.2,0.2,8,Dehydrochloromethyltestosterone,,,2014
172,Ioan Stefan,Vasile,ROU,Romania,M,AAF,Letrozole,2/16/2014,2,2 years ineligibility,3/10/2016,2.1,0.1,8,Letrozole,,,2014
173,Sofie,Hedman,SWE,Sweden,F,AAF,Stanozolol,6/2/2014,2,2 years ineligibility,7/20/2016,2.1,0.1,8,Stanozolol,,,2014
174,Simon,Larsson,SWE,Sweden,M,IAAF Rule 32.2e,Tampering,10/7/2014,2,2 years ineligibility,3/2/2017,2.4,0.4,8,Tampering,,,2014
175,Andreas,Gustafsson,SWE,Sweden,M,AAF,EPO,12/14/2014,2,2 years ineligibility,3/19/2017,2.3,0.3,8,EPO,,,2014
176,Himik,Marcin,SWE,Sweden,M,AAF,Stanozolol & Norandrosterone,6/3/2014,3,3 years ineligibility,7/31/2017,3.2,0.2,8,Stanozolol,Norandrosterone,,2014
177,Mohsen,Ali Nourozi,SWE,Sweden,M,AAF,Methandienone,2/20/2014,2,2 years ineligibility,4/24/2016,2.2,0.2,8,Methandienone,,,2014
178,Andreas,Olofsson,SWE,Sweden,M,AAF,Dehydrochloromethyltestosterone,11/13/2014,2,2 years ineligibility,12/20/2016,2.1,0.1,8,Dehydrochloromethyltestosterone,,,2014
179,Mikael,Malmqvist,SWE,Sweden,M,AAF,Methandienone,6/17/2014,2,2 years ineligibility,7/31/2016,2.1,0.1,8,Methandienone,,,2014
180,Niklas,Nilsson,SWE,Sweden,M,AAF,Methandienone,10/20/2014,2,2 years ineligibility,11/20/2016,2.1,0.1,8,Methandienone,,,2014
181,Inika,Mcpherson,USA,USA,F,AAF,Benzoylecgonine,6/29/2014,1.75,21 months ineligibility,4/26/2016,1.8,0.1,8,Benzoylecgonine,,,2014
182,Atalelech,Ketema,USA,USA,F,AAF,Ephedrine,5/18/2014,2,2 years ineligibility,5/17/2016,2,0,8,Ephedrine,,,2014
183,Brian,Coushay,USA,USA,M,AAF,Amphetamine,7/25/2015,2,2 years ineligibility,9/8/2017,2.1,0.1,8,Amphetamine,,,2015
184,Raymond,Stewart,USA,USA,M,IAAF Rule 32.2g ; IAAF rule 32.2h,Trafficking; Administration,1/1/2004,100,Lifetime ban,Lifetime ban,100,0,8,Trafficking,Administration,,2004
185,Mohamed,Trafeh,USA,USA,M,IAAF Rule 32.2b; IAAF Rule 32.2c,Use of a prohibited substance; Evasion,1/1/2012,4,4 years ineligibility,1/11/2016,4,0,8,Use of a prohibited substance,Evasion,,2012
186,Mark,Block,USA,USA,M,IAAF rule 32.2h,Administration/attempted administration of a prohibited substance to an athlete,1/1/2009,10,10 years ineligibility,12/31/2018,10,0,8,Administration/attempted administration of a prohibited substance to an athlete,,,2009
187,Jerome,Young,USA,USA,M,AAF,EPO,7/23/2004,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,8,EPO,,,2004
188,Matthew,Di Buono,USA,USA,M,AAF,Anabolic Steroids; 3 Whereabouts Failures within an 18 month period,12/31/2013,4.417,4 years and 5 months ineligibility,1/16/2016,2,-2.4,8,Anabolic Steroids,3 Whereabouts Failures within an 18 month period,,2013
189,Thozama,April,RSA,South Africa,F,AAF,"Phentermine, Prednisolone & Norandrosterone",9/21/2014,2,2 years ineligibility,12/28/2016,2.3,0.3,7,Phentermine,Prednisolone,Norandrosterone,2014
190,Martinique,Potgieter,RSA,South Africa,F,AAF,Phentermine & Furosemide,6/1/2014,2,2 years ineligibility,5/31/2016,2,0,7,Phentermine,Furosemide,,2014
191,Simon,Magakwe,RSA,South Africa,M,IAAF Rule 32.2c,Refusal to submit to doping control,12/22/2014,2,2 years ineligibility,1/28/2017,2.1,0.1,7,Refusal to submit to doping control,,,2014
192,Andre,Koekemoer,RSA,South Africa,M,AAF,Stanozolol & Testosterone,7/23/2013,8,8 years ineligibility,7/22/2021,8,0,7,Stanozolol,Testosterone,,2013
193,Lindikhaya,Mthangayi,RSA,South Africa,M,AAF,Mehandienone,9/22/2013,4,4 years ineligibility,9/21/2017,4,0,7,Mehandienone,,,2013
194,Joseph,Mphuti,RSA,South Africa,M,AAF,Norandrosterone,4/12/2014,2,2 years ineligibility,4/11/2016,2,0,7,Norandrosterone,,,2014
195,Innis,Viviers,RSA,South Africa,M,AAF,Stanozolol,2/11/2005,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,7,Stanozolol,,,2005
196,Natallia,Kareiva,BLR,Belarus,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,7/28/2010,2,2 years ineligibility,8/21/2016,6.1,4.1,6,Use/attempted use of a prohibited substance/method,,,2010
197,Volha,Rezkaya,BLR,Belarus,F,AAF,Dehydrochloromethyltestosterone,10/13/2013,2,2 years ineligibility,11/1/2015,2.1,0.1,6,Dehydrochloromethyltestosterone,,,2013
198,Nadzeya,Ostapchuk,BLR,Belarus,F,AAF,Formestane & 4-Hydroxytestosterone ; Metenolone,8/5/2012,4,4 years ineligibility,8/14/2016,4,0,6,Formestane,4-Hydroxytestosterone,Metenolone,2012
199,Pavel,Kryvitski,BLR,Belarus,M,AAF,Growth Hormone (hGH),5/11/2015,4,4 years ineligibility,6/10/2019,4.1,0.1,6,Growth Hormone (hGH),,,2015
200,Andrei,Mikhnevich,BLR,Belarus,M,AAF,"Clenbuterol, Methandienone & Oxandrolone",8/6/2005,100,Lifetime ban,Lifetime ban,100,0,6,Clenbuterol,Methandienone,Oxandrolone,2005
201,Andrei,Varantsou,BLR,Belarus,M,AAF,Dehydrochloromethyltestosterone,10/9/2013,100,Lifetime ban,Lifetime ban,100,0,6,Dehydrochloromethyltestosterone,,,2013
202,Mohammed,Shaween,KSA,Saudi Arabia,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,6/12/2011,3,3 years ineligibility,2/12/2016,4.7,1.7,6,Use/attempted use of a prohibited substance/method,,,2011
203,Fahad,Al Kalva,KSA,Saudi Arabia,M,AAF,"Amphetamine, Cannabis",2/27/2015,4,4 years ineligibility,3/28/2019,4.1,0.1,6,Amphetamine,Cannabis,,2015
204,Abdulaziz,Aldossary,KSA,Saudi Arabia,M,AAF,Amphetamine,5/17/2014,2,2 years ineligibility,6/15/2016,2.1,0.1,6,Amphetamine,,,2014
205,Yousef,Alasiri,KSA,Saudi Arabia,M,AAF,Clenbuterol,5/16/2014,2,2 years ineligibility,6/9/2016,2.1,0.1,6,Clenbuterol,,,2014
206,Mashnati,Naif,KSA,Saudi Arabia,M,AAF,Norandrosterone,2/27/2015,4,4 years ineligibility,4/1/2019,4.1,0.1,6,Norandrosterone,,,2015
207,Mohammed,Yousef,KSA,Saudi Arabia,M,AAF,Stanozolol,2/27/2015,4,4 years ineligibility,3/22/2019,4.1,0.1,6,Stanozolol,,,2015
208,Helder,Ornelas,POR,Portugal,M,ABP,Use/attempted use of a prohibited substance/method,3/8/2010,4,4 years ineligibility,1/12/2016,5.9,1.9,5,Use/attempted use of a prohibited substance/method,,,2010
209,Fernando,Silva,POR,Portugal,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,10/29/2011,8,8 years ineligibility,9/23/2021,9.9,1.9,5,Use/attempted use of a prohibited substance/method,,,2011
210,Marco,Morgado,POR,Portugal,M,AAF; IAAF Rule 32.2b,EPO; Use/attempted use of a prohibited substance/method,10/29/2011,6,6 years ineligibility,2/24/2019,7.3,1.3,5,EPO,Use/attempted use of a prohibited substance/method,,2011
211,Heider,Costa,POR,Portugal,M,AAF,Norandrosterone,7/6/2013,2,2 years ineligibility,1/2/2016,2.5,0.5,5,Norandrosterone,,,2013
212,Leao,Carvalho,POR,Portugal,M,AAF,Cocaine,7/19/2008,10,10 years ineligibility (2nd ADRV),8/17/2018,10.1,0.1,5,Cocaine,,,2008
213,Grigoria-Emmanouela,Keramida,GRE,Greece,F,AAF,Stanozolol,2/9/2014,2,2 years ineligibility,6/26/2016,2.4,0.4,4,Stanozolol,,,2014
214,Theopistos,Mavridis,GRE,Greece,M,AAF,Testosterone,2/9/2014,2,2 years ineligibility,7/1/2016,2.4,0.4,4,Testosterone,,,2014
215,Mihail,Stamatoyiannis,GRE,Greece,M,AAF,Stanozolol,5/31/2014,2,2 years ineligibility,6/22/2016,2.1,0.1,4,Stanozolol,,,2014
216,Christos,Polychroniou,GRE,Greece,M,IAAF rule 32.2c,Refusal to submit to doping control,3/18/2008,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,4,Refusal to submit to doping control,,,2008
217,Tsehynesh,Tsale,AZE,Azerbaijan,F,AAF,Metenolone,12/27/2013,2,2 years ineligibility,2/10/2016,2.1,0.1,3,Metenolone,,,2013
218,Chaltu,Beji,AZE,Azerbaijan,F,AAF,Ostarine,6/21/2015,4,4 years ineligibility,6/26/2019,4,0,3,Ostarine,,,2015
219,Dzmitry,Marshin,AZE,Azerbaijan,M,AAF,Dehydrochloromethyltestosterone,5/29/2015,4,4 years ineligibility,6/28/2019,4.1,0.1,3,Dehydrochloromethyltestosterone,,,2015
220,Sahar,Ziaee,IRI,Iran,F,AAF,Trenbolone,6/20/2014,2,2 years ineligibility,8/4/2016,2.1,0.1,3,Trenbolone,,,2014
221,Shahin,Mehrdelan,IRI,Iran,M,AAF,Stanozolol,6/13/2014,2,2 years ineligibility,7/25/2016,2.1,0.1,3,Stanozolol,,,2014
222,Hassan,Heidarpoor,IRI,Iran,M,AAF,Stanozolol,1/19/2012,8,8 years ineligibility (2nd ADRV),1/18/2020,8,0,3,Stanozolol,,,2012
223,Kwa Ihuefo,Sorochukwu,NGR,Nigeria,F,AAF,Norandrosterone,6/25/2010,8,8 years ineligibility (2nd ADRV),8/15/2018,8.1,0.1,3,Norandrosterone,,,2010
224,Vivian,Chukwuemeka,NGR,Nigeria,F,AAF,Stanozolol,6/21/2012,100,Lifetime ban as from 12.07.12,Lifetime ban,100,0,3,Stanozolol,,,2012
225,Henry,Azike,NGR,Nigeria,M,AAF,Metenolone,12/5/2012,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,3,Metenolone,,,2012
226,Matej,Gasaj,SVK,Slovakia,M,AAF,Dehydrochloromethyltestosterone,7/13/2014,2,2 years ineligibility,7/9/2016,2,0,3,Dehydrochloromethyltestosterone,,,2014
227,Mikulas,Konopka,SVK,Slovakia,M,AAF,Methandienone,5/13/2008,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,3,Methandienone,,,2008
228,Milan,Haborak,SVK,Slovakia,M,AAF,Stanozolol,6/21/2010,100,Lifetime ban,Lifetime ban,100,0,3,Stanozolol,,,2010
229,Sergio,Sanchez Martinez,ESP,Spain,M,AAF,EPO,7/28/2013,2,2 years ineligibility,11/25/2015,2.3,0.3,3,EPO,,,2013
230,Miguel Angel,Gamonal,ESP,Spain,M,AAF,"Clenbuterol , Use/attempted use of a prohibited substance/method",9/29/2013,5,5 years ineligibility,10/25/2018,5.1,0.1,3,Clenbuterol,Use/attempted use of a prohibited substance/method,,2013
231,Juan Jose,Escobar Lechuga,ESP,Spain,M,AAF,Mesterolone,10/20/2013,2,2 years ineligibility,12/10/2015,2.1,0.1,3,Mesterolone,,,2013
232,Sabina,Yusufova,UZB,Uzbekistan,F,AAF,Dehyrdochloromethyltestosterone,5/14/2014,2,2 years ineligibility,5/27/2016,2,0,3,Dehyrdochloromethyltestosterone,,,2014
233,Abror,Akramov,UZB,Uzbekistan,M,AAF,Norandrosterone,5/14/2014,2,2 years ineligibility,8/4/2016,2.2,0.2,3,Norandrosterone,,,2014
234,Grigoriy,Kamulya,UZB,Uzbekistan,M,AAF,Dehydrochloromethyltestosterone,6/14/2014,1.67,1 year and 8 months ineligibility,2/29/2016,1.7,0,3,Dehydrochloromethyltestosterone,,,2014
235,Susanne,Pumper,AUT,Austria,F,IAAF rule 32.2f,Possession of a prohibited substance/method,2/1/2009,8,8 years ineligibility,3/5/2020,11.1,3.1,2,Possession of a prohibited substance/method,,,2009
236,Elmar,Lichtenegger,AUT,Austria,M,AAF,Norandrosterone,11/20/2007,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,2,Norandrosterone,,,2007
237,SALEM Marwa,Salah,BRN,Bahrain,F,n.a.,Oxandrolone,10/28/2013,2,2 years ineligibility,12/1/2015,2.1,0.1,2,Oxandrolone,,,2013
238,Momhed,Khalifa,BHR,Bahrain,M,AAF,Prednisolone,4/15/2015,2,2 years ineligibility,5/11/2017,2.1,0.1,2,Prednisolone,,,2015
239,Tezdzhan,Naimova,BUL,Bulgaria,F,AAF,Drostanolone,3/3/2013,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,2,Drostanolone,,,2013
240,Andrian,Andreev,BUL,Bulgaria,M,AAF,Metenolone,2/27/2008,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,2,Metenolone,,,2008
241,Alicia,Brown,CAN,Canada,F,AAF,Hydrochlorothiazide,11/26/2013,2,2 years ineligibility,11/25/2015,2,0,2,Hydrochlorothiazide,,,2013
242,Daniel,Novia,CAN,Canada,M,AAF,"Testosterone, Methasterone & Tamoxifen",7/5/2015,3.67,3 years and 8 months ineligibility,3/14/2019,3.7,0,2,Testosterone,Methasterone,Tamoxifen,2015
243,Anna,Yin,CHN,China,F,AAF,EPO,9/7/2014,2,2 years ineligibility,9/6/2016,2,0,2,EPO,,,2014
244,Jingzhai,Cheng,CHN,China,M,AAF,EPO,1/4/2014,2,2 years ineligibility,2/29/2016,2.2,0.2,2,EPO,,,2014
245,Blanca Liliana,Moreno Canchon,COL,Colombia,F,AAF,Triamterene,12/8/2013,2,2 years ineligibility,1/20/2016,2.1,0.1,2,Triamterene,,,2013
246,Edder Cesar,Moreno,COL,Colombia,M,AAF,Stanozolol,2/16/2014,2,2 years ineligibility,3/11/2016,2.1,0.1,2,Stanozolol,,,2014
247,Ilja,Nicolajev,EST,Estonia,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,4/16/2013,2,2 years ineligibility,2/2/2017,3.8,1.8,2,Use/attempted use of a prohibited substance/method,,,2013
248,Nikolai,Vedehin,EST,Estonia,M,AAF,Trimetazidine,2/5/2015,4,4 years ineligibility,3/22/2019,4.1,0.1,2,Trimetazidine,,,2015
249,Eyerusalem,Kuma,ETH,Ethiopia,F,AAF,EPO,10/20/2013,2,2 years ineligibility,11/17/2015,2.1,0.1,2,EPO,,,2013
250,Tesfaye,Assefa,ETH,Ethiopia,M,IAAF rule 32.2c,Refusal,10/31/2014,2,2 years ineligibility,1/19/2017,2.2,0.2,2,Refusal,,,2014
251,Dominique,Blake,JAM,Jamaica,F,AAF,Methylhexaneamine,7/1/2012,6,6 years ineligibility,6/12/2019,7,1,2,Methylhexaneamine,,,2012
252,Steve,Mullings,JAM,Jamaica,M,AAF,Furosemide,6/24/2011,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,2,Furosemide,,,2011
253,Diego Eduardo,Moreno Gandara,MEX,Mexico,M,AAF,Dexamethasone,4/25/2015,4,4 years ineligibility,6/2/2019,4.1,0.1,2,Dexamethasone,,,2015
254,Kevin Gaytan,Becerra,MEX,Mexico,M,AAF,Norandrosterone,5/17/2014,2,2 years ineligibility,6/17/2016,2.1,0.1,2,Norandrosterone,,,2014
255,Adrienne,Herzog,NED,Netherlands,F,AAF,Exogenous Steroids,11/13/2013,2,2 years ineligibility,5/13/2016,2.5,0.5,2,Exogenous Steroids,,,2013
256,Rutger,Koppelaar,NED,Netherlands,M,AAF,Testosterone,5/31/2014,2,2 years ineligibility,7/16/2016,2.1,0.1,2,Testosterone,,,2014
257,Wioletta,Kryza,POL,Poland,F,AAF,Testosterone,7/22/2012,8,8 years ineligibility (2nd ADRV),7/21/2020,8,0,2,Testosterone,,,2012
258,Marcin,Blazinski,POL,Poland,M,,3 Whereabouts Failures within an 18 month period,2/11/2014,1.75,21 months ineligibility,3/3/2017,3.1,1.3,2,3 Whereabouts Failures within an 18 month period,,,2014
259,Ian,Burns,GBR,UK,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,9/22/2011,4,4 years ineligibility,5/18/2016,4.7,0.7,2,Use/attempted use of a prohibited substance/method,,,2011
260,Carl,Fletcher,GBR,UK,M,IAAF Rule 32.2g,Trafficking,3/23/2011,4,4 years ineligibility,11/7/2015,4.6,0.6,2,Trafficking,,,2011
261,Genesis Arianna,Olivera,VEN,Venezuela,F,AAF,Stanozolol,9/27/2014,2,2 years ineligibility,9/26/2016,2,0,2,Stanozolol,,,2014
262,Victor,Castillo,VEN,Venezuela,M,AAF,Methylhexaneamine,10/25/2011,4,4 years ineligibility,11/21/2015,4.1,0.1,2,Methylhexaneamine,,,2011
263,Amantle,Montsho,BOT,Botswana,F,AAF,Methylhexaneamine,7/29/2014,2,2 years ineligibility,8/28/2016,2.1,0.1,1,Methylhexaneamine,,,2014
264,Ak. Hafiy Tajuddin,Rositi,BRU,Brunei,M,AAF,Nandrolone,12/15/2013,2,2 years ineligibility,12/24/2015,2,0,1,Nandrolone,,,2013
265,Fanny,Appes Ekanga,CMR,Cameroon,F,AAF,Clenbuterol,1/24/2015,2,2 years ineligibility,2/11/2017,2.1,0.1,1,Clenbuterol,,,2015
266,Martin,Maric,CRO,Croatia,M,AAF,SARMs,7/13/2014,2,2 years ineligibility,8/5/2016,2.1,0.1,1,SARMs,,,2014
267,Soren,Hammer,DEN,Denmark,M,AAF,Nandrolone,3/26/2014,2,2 years ineligibility,4/13/2016,2.1,0.1,1,Nandrolone,,,2014
268,Leidy,Ramirez Manase,DOM,Dominican Republic,F,AAF,Stanozolol,5/29/2014,2,2 years ineligibility,7/20/2016,2.1,0.1,1,Stanozolol,,,2014
269,Pekka,Viippo,FIN,Finland,M,AAF,Hydrochlorothiazide,9/4/2011,8,(2nd ADRV) 8 years ineligibility,11/10/2019,8.2,0.2,1,Hydrochlorothiazide,,,2011
270,Kofi Amoah,Prah,GER,Germany,M,AAF; IAAF Rule 40.11.b,Cocaine; Violation of the prohibition of Participation during ineligibility,7/5/2009,2,2 years ineligibility,2/15/2016,6.6,4.6,1,Cocaine,Violation of the prohibition of Participation during ineligibility,,2009
271,Robert,Fazekas,HUN,Hungary,M,AAF,Stanozolol,6/16/2012,6,6 years ineligibility,7/5/2018,6.1,0.1,1,Stanozolol,,,2012
272,Steven,Colvert,IRL,Ireland,M,AAF,EPO,5/20/2014,2,2 years ineligibility,6/16/2016,2.1,0.1,1,EPO,,,2014
273,Asaf,Malka,ISR,Israel,M,AAF,Stanozolol & Trenbolone,11/23/2014,2,2 years ineligibility,12/21/2016,2.1,0.1,1,Stanozolol,Trenbolone,,2014
274,Olga,Tereshkova (Tsykunova),KAZ,Kazakhstan,F,AAF,Methyltestosterone,3/19/2014,100,Lifetime ban,Lifetime ban,100,0,1,Methyltestosterone,,,2014
275,Ghina,Al Asir,LIB,Lebanon,F,AAF,Metenolone,11/10/2013,2,2 years ineligibility,2/10/2016,2.3,0.3,1,Metenolone,,,2013
276,Hristina,Risteska,MKD,Macedonia,F,AAF,"Stanozolol, Methandienone & Norandrosterone",5/4/2015,4,4 years ineligibility,5/3/2019,4,0,1,Stanozolol,Methandienone,Norandrosterone,2015
277,Harun,Rasheed,MAS,Malaysia,M,IAAF rule 32.2h,Administration/attempted administration to any athlete of a prohibited substance/method,1/1/2015,10,10 years ineligibility,9/11/2021,6.7,-3.3,1,Administration/attempted administration to any athlete of a prohibited substance/method,,,2015
278,Alexei,Cravcenco,MDA,Moldova,M,AAF,Stanozolol,8/12/2014,2,2 years ineligibility,8/26/2016,2,0,1,Stanozolol,,,2014
279,Saw Mar,Lar New,MYA,Myanmar,F,AAF,Testosterone,12/15/2013,2,2 years ineligibility,12/31/2015,2,0,1,Testosterone,,,2013
280,Hamza,Driouch Hamza,QAT,Qatar,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,8/2/2012,2,2 years ineligibility,12/30/2016,4.4,2.4,1,Use/attempted use of a prohibited substance/method,,,2012
281,Daouda,Diagne,SEN,Senegal,M,AAF,Testosterone,7/7/2015,4,4 years ineligibility,9/22/2019,4.2,0.2,1,Testosterone,,,2015
282,Nemanja,Kojic,SRB,Serbia,M,AAF,Furosemide,7/25/2015,2,2 years ineligibility,8/10/2017,2,0,1,Furosemide,,,2015
283,Achala Shalika,Dias,SRI,Sri Lanka,F,AAF,Metenolone & Trenbolone,5/9/2015,4,4 years ineligibility,5/9/2019,4,0,1,Metenolone,Trenbolone,,2015
284,Monira,Alsaleh,SYR,Syria,F,AAF,Stanozolol,2/26/2010,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,1,Stanozolol,,,2010
285,Sara,Ramadhani,TAN,Tanzania,F,AAF,Isometheptene,1/12/2014,2,2 years ineligibility,3/31/2016,2.2,0.2,1,Isometheptene,,,2014
286,Rashed Saif,Al-Meqbali,UAE,United Arab Emirates,M,AAF,Stanozolol,5/31/2014,8,8 years ineligibility,5/30/2022,8,0,1,Stanozolol,,,2014
287,Rodolfo,Casanova,URU,Uruguay,M,IAAF rule 32.2c,Refusal,3/16/2014,2,2 years ineligibility,5/7/2016,2.1,0.1,1,Refusal,,,2014
,,,,,,,,,,,,,,,,,,
